no retweets  5387302
no retweets  5388222
no retweets  6515452
no retweets  18210266
no retweets  55984911
no retweets  165964253
no retweets  312105296
no retweets  418979615
no retweets  471990460
1471
253546973192413185 11 False
418830081906454528 9 True
210615798685896705 8 True
440322224407314432 7 False
428157771108724736 6 True
263059727607533568 5 True
340477636327391233 5 True
408640557510959104 5 True
382936222425169920 5 True
103264111256801280 5 True
440500970229739520 4 True
35425617226899456 4 True
408654203931090945 4 True
404017867454021632 4 True
195594460560756738 4 True
253680452240547840 4 False
246328946772307969 4 True
447888976134025216 4 True
296307587320791041 4 True
121338960860561408 4 True
226047796732637184 4 True
395209435871600640 4 True
264473164497690624 3 True
422878614447587329 3 True
341272431031377920 3 True
276012997653196800 3 True
278633693717876736 3 True
386895237177962496 3 True
370578393877987328 3 True
357972667485265920 3 True
322025929503293440 3 True
264569119528079360 3 True
232348380431544320 3 False
386312768803966977 3 True
159748205125443584 3 True
394458085450072064 3 True
91898845964931074 3 True
260735303529140225 3 True
319845582791397379 3 True
37022516107018240 3 True
324193831828459520 3 True
344510202399309824 3 True
182310895895060481 3 True
313690666880339968 3 True
393116643426988032 3 True
337660581819584512 3 True
394537847027691521 3 True
73881320606007296 3 True
225670261255581696 3 True
366952004649627648 3 True
70636595480502272 3 True
70520128118325248 3 True
332999398458015745 3 True
413712518570188800 3 True
269618285572681728 3 True
292044167914336257 3 True
159659007806672897 3 True
167747409701642241 3 True
185780685611606016 3 True
436625128555032576 3 True
405431747887644673 2 True
404024552310595584 2 True
263772148861132802 2 True
128597845757534208 2 True
360232031453589505 2 False
259317196780617728 2 True
266069774159712258 2 True
266895294854230017 2 True
447222446115274753 2 True
433361377831288832 2 True
17088191970418688 2 True
296713464519471104 2 True
266034116967927809 2 True
286961499468095488 2 True
324276310820134912 2 True
436264454788247552 2 True
72746148485545985 2 True
451120919365169152 2 True
400016621919416320 2 True
258393302552961024 2 False
298252453063831552 2 True
317413100838064128 2 True
131538793793732609 2 True
422553308340170752 2 True
306219366419140608 2 True
154684703570530304 2 True
194559795209043968 2 True
373114915675836417 2 True
147734671013318656 2 True
102755388444778497 2 True
84460505397334016 2 True
